Page URL,File,Line,Affiliate program/company,Link text,Destination URL,HTTP status code,Final redirect destination,Tracking parameters present,Saily CARLRI5370 present,Opens new tab,rel nofollow sponsored,Working correctly,Issues
https://www.carltravels.com/Berlin.html,Berlin.html,387,Wise,Sign up here,https://wise.com/invite/irhc/carlt62,200,https://wise.com/invite/irhc/carlt62,yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,393,Dehancer,dehancer.com/subscribe,https://www.dehancer.com/pricing/monthly,200,https://www.dehancer.com/pricing/monthly,no,n/a,no,no,no,missing tracking; missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,400,Amazon Associates,DJI Flip,https://amzn.to/45iZULT,200,"https://www.amazon.com.au/DJI-Controller-Takeoff-Intelligent-Batteries/dp/B0DJ1FKDGP?crid=2R4BEGV4GCOVO&dib=eyJ2IjoiMSJ9.B3ZGiV_NB4CWvaKZC46HHhqNPIONGEffr9hyQ7doXp3AXko2J8XgtkAXDGsuiEAotNNI2PbCB1AYBnn8BEqRKQmDgWoDst39DJE8gasnXCLc-jUhcRDkTU-kNRFzDwVNjg3G3I5emTMygueqNFSxWtlrc8daGW3mi4t632aghZDCMYSRFrI9w-WsipGgN-AlFd9MHv5fvM5SOZdJ3ZRc3S6dP5ZdvaJbD8dpLuwD9xBibVGNVEA8sqdNPUGc1-QA6emRyHoQcDY9W1wK8g5M_GK-2rSHwY-u6nRI0GtXeD4.0l6QuT-oAkSZ2X00AMSTCdok07QQfjyAKzBb_DdWawE&dib_tag=se&keywords=dji%2Bflip&qid=1755253304&sprefix=dji%2B,aps,500&sr=8-1&th=1&linkCode=sl1&tag=sonymoviemast-22&linkId=3f5281eb31b07e511b695e37c70531d8&language=en_AU&ref_=as_li_ss_tl",yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,401,Amazon Associates,Sony A7C II,https://amzn.to/4mHhQ8H,200,"https://www.amazon.com.au/Alpha-Full-Frame-Interchangeable-Lens-Camera/dp/B0CGTTVYGM?crid=3UFGY3ITUFRIG&dib=eyJ2IjoiMSJ9.ev7c1E-3pbpbmadeh7VdWFcGksbpaD0LcfMpyGiafmIkmo2jGBt5M2E9J5fx_zQvYoa9cwkYx9Ms4314aD_KvlRP7kN7v44y5OVvwCe0hrwu3EmNb_ynMVmokWAEqEhATekuA2inkDK21iarXslKa-cwhVZmzX5YQxtcRmGKFeR772jpYj3HTrPbeI3ZQ4U9pdrLR2LEwE7JqN1U8Zd-BBT_0SJG6AhX8DL4MXBQZGSJ8ZS-_aLCTtitWZHc2pdFMTaRj76KAi4xLj1fzwW26k4n3Tyl4DcnDLsPS0O6csE.M7nmeQ9rGw5lWrk0OStz3sFcXb6hUUBIYxuSm25RGtM&dib_tag=se&keywords=Sony%2BA7CII&qid=1755253330&sprefix=sony%2Ba7ci,aps,339&sr=8-2&th=1&linkCode=sl1&tag=carltomich-22&linkId=e268d46ab451781fa56ff54460f43b36&language=en_AU&ref_=as_li_ss_tl",yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,402,Amazon Associates,DJI Pocket 3,https://amzn.to/4miS3UJ,200,"https://www.amazon.com.au/DJI-Vlogging-Stabilization-Tracking-Photography/dp/B0CG19FGQ5?crid=1G6X1VC3KQ5EX&dib=eyJ2IjoiMSJ9.OLzTlYtdM2w0TP6xjlSDCa_ccSbGz-LuIU4RgcQOCNGa_FFl2x1iOz2JX6S15ZXETql3rFDOM9ga-vhK36LgBaVMgdsL9DjJ1rGI703o8l2CU7qjqJgJrjk4bbf-Ae7lDW2VKJCOIhx3uSDXuParcMtR2mX2C58Se55j-iXTxZtUyCT_KpmGnxAiC29MDSrLM27fcIM9hNcLt9qfKC4X0H4XYBQK9QDfGIOYCCdiD5lduJ45hKRSb_vcDqRsfUclWisMqQvRUilvFcJNunY7PQEwXIkjphgmLW2BdwCZLnw.kXFrNmjSvoqF8aSCDLEiVO6jy41xldw8QKHmK03PQpg&dib_tag=se&keywords=DJI%2Bpocket%2B3&qid=1755253366&sprefix=dji%2Bpocket%2B34,aps,341&sr=8-5&th=1&linkCode=sl1&tag=carltomich-22&linkId=f574fc6c948e413d7828caf3917f88c7&language=en_AU&ref_=as_li_ss_tl",yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,403,Amazon Associates,Tamron 28–200,https://amzn.to/4lvd1hI,200,"https://www.amazon.com.au/Tamron-28-200-2-8-5-6-Mirrorless-Mount/dp/B08B34HWKV?crid=1QEN08AGHDA5P&dib=eyJ2IjoiMSJ9.F-1xObnXZ1qvBYq3zqlPY-NONJhLnpZLBqOzJ3HO5tTaMoqBS6y-yCzp9X2gf74AvY9AfeP0NaxoH7DZ9-baBGYipuEDZdeZDPhnjFQLAPKtme5_4_FG3s6XXvOiBciFRCc2uuwqEeNlASTcgcCCZMSMFQeah9VIUe8nfvKw3waCva02_S3xX9d-JyGDBuG_e3MirkHsz23lqve2L2QVLMa5j0OVts-mmsfQ8VCk2Mk21ZgO9UeZSpWiqPf46ib3p97ybHMdj-mSwAvwDGZsUplC0W8j79hDLbEyt4rRRsc.RD-ZusuknzzNJEQwUdBnNUgT4NbgXfMrZD-cLbs7Izg&dib_tag=se&keywords=tamron%2B24-150mm%2Bsony&qid=1755253413&sprefix=tamron%2B24-150mm%2Bson,aps,332&sr=8-8&th=1&linkCode=sl1&tag=carltomich-22&linkId=369f0dc13ba29944c2261e58637d5916&language=en_AU&ref_=as_li_ss_tl",yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,404,Amazon Associates,RØDE Wireless PRO,https://amzn.to/4oHMXTy,200,"https://www.amazon.com.au/R%C3%98DE-Microphone-Recording-Microphones-Filmmaking/dp/B0CB2HGR9Q?crid=EGFFU6UZWCLT&dib=eyJ2IjoiMSJ9.DGm925iQklRK-0FmBcE9db-XNNBHUbEQUmSpGwxYevTWsXHx1AB2Ujp56lEEJfYAXcz8f7ItdheKMJJEt3fbcFJwLM0qbJZFbyXmeGeum-sa0VEabMsoDLY8CTncKG_wcQknrVxzofZHSnY2hjgptBqrzbKBtON6CpGKjvZLWJbF12me_IIzxbcIdQ8xyAiv4MZEEmpSth_cBUSNn31q0t3k7bBm6YhlZLAdCOz86vQKfMf3dxTZHnqFsWMWlUF7v0fy7dJRty-80-hdaPlVDfUAYTPOMRmPYrwuoDhkGHE.Jyv_XTXDBOYqJ4Rg5nZ0RKMDurBNR5Nag68iZPXdLmc&dib_tag=se&keywords=rode%2Bwireless%2Bpro&qid=1755253496&sprefix=Rode%2Bwirle,aps,388&sr=8-3&th=1&linkCode=sl1&tag=carltomich-22&linkId=c45e7c55dd1516f0f8708eea1e3df28d&language=en_AU&ref_=as_li_ss_tl",yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,405,Amazon Associates,Think Tank Backpack,https://amzn.to/467fEAU,200,"https://www.amazon.com/Think-Tank-Airport-Commuter-Backpack/dp/B0083GQI5Y?crid=2DUIR27E54VFF&dib=eyJ2IjoiMSJ9.9XG5TZXY0VQe_JM4tf_rYqZTZVCpD3yhgWrqqRz7QRe2p5T785DRre0iq_knj0lCgwWu61gX6gQhU1gnkpa0Oy5NL2IJTmQqwU2OgKZOy7CJNXpEWJDXjz5XMOXhk-qfM1nF08sucPDsn0dmURafC38s2OcI8cViV1Q67OF01Sr2OmjeufUSQg0GHKX3twaAL-kI-4oLThlIo3FD4R9r9a-4ZQqUBJQ7iiDS97TIM2g.yGwuqwlPiTaZdkN4hPtMx2ru_ylVkLWkPPgvjFU3Vo4&dib_tag=se&keywords=thinktank+travel+backpack&qid=1757035483&sprefix=thinktank+travel+backpac,aps,316&sr=8-3&linkCode=sl1&tag=carltomichtec-20&linkId=5a1043bdd87861e72327b4d1be2226de&language=en_US&ref_=as_li_ss_tl",yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,411,Amazon Associates,DJI Flip,https://amzn.to/41zmAVV,200,"https://www.amazon.com.au/DJI-Controller-Takeoff-Intelligent-Batteries/dp/B0DJ1FKDGP?crid=27CLM6RRHHRB4&dib=eyJ2IjoiMSJ9.xHJwj2C5oeF6OHTI195Mdn3sPKEY3lQQtbR1Ffinq4nZrf0vJkhLIitjW3VBJOJxwyVeE4yQAuXGFbWTEwFrlWWsax_d6SMbu6MShKn__FMm0mh-GoBsHRxdET8U2ZnqpxXklLfQqiThEX0uRx_FzYCEWuAVyvXSelhqtv3be5YD_EsWRzMIULJGPJlSUrdUmmEa5c91FR8syo0ZeIfK0g6nYhVRBSfryUO8DyP7t9w0yINa3lmqQbKaTVkAljF0zY95g7ligNcgPIUNDRqXXx8IdElfmIcz-LTDbcXZCVY.BHpsQw5p_iwN_R_6cb79XAe-ZNr3mHBd-DXY4w99rs8&dib_tag=se&keywords=dji%2Bflip&qid=1757034937&sprefix=dji%2Bflip,aps,261&sr=8-1&th=1&linkCode=sl1&tag=carltomich-22&linkId=086f0f4dda5311ea4c0fa2a020c7fc62&language=en_AU&ref_=as_li_ss_tl",yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
https://www.carltravels.com/Berlin.html,Berlin.html,412,Amazon Associates,Sony A7C II,https://amzn.to/45Qk2Fw,200,"https://www.amazon.com.au/Sony-Alpha-System-Camera-28-60mm/dp/B0CGFBMNDH?crid=Y4V8WSCJABT6&dib=eyJ2IjoiMSJ9.ev7c1E-3pbpbmadeh7VdWGGGwBPVPgenkV33RBsEipu2uXVpDOT-4N719LE8z5ZZkuiatxECfZOdzpPy6zsWyTaCC9-YjTsjmmcZSgzVbtIhv6nwiqrhip-8XLyFVM8TJI0S9CtfzEuF20mZcy_wovPC1FlRfSxCGu-1DiuOJ6Z2es25G9g5miw4rVwdl2YcxPhn0n3sJchrolpd3esOjIp0QaLGvz7n3uFMc-O48l4pYSj__YDttER8crkPx69f7mSxS8ujQijijWSjmj4h9XUlNdHSaq2KQBm7l6vTkyg.johmDKkudmYJ6Vp3A83ZS0WmLiuItffyIHcQrNpcTpM&dib_tag=se&keywords=sony%2Ba7cii&qid=1757035042&sprefix=sony%2Ba7cii,aps,242&sr=8-7&th=1&linkCode=sl1&tag=carltomich-22&linkId=e6839e00766785a47c09e7449989c441&language=en_AU&ref_=as_li_ss_tl",yes,n/a,no,no,no,missing target=_blank; missing rel nofollow sponsored
